headlines,outcome
 Pfizer s COVID 19 Vaccine DOES Lower Men s Sperm Count,Misinformation
 With the vaccine against Covid 19  there is no longer any need to put the right to abortion in the Constitution,Misinformation
 With the vaccine against Covid 19  there is no longer any need to put the right to abortion in the Constitution,Misinformation
20% of human volunteers for the test for a COVID 19 vaccine developed by Moderna have suffered serious adverse effects,Misinformation
21 people died in Lagos igeria fter getting a COVID 19 vaccine,Misinformation
7 kids died in Senegal right after receiving the vaccine for the coronavirus,Misinformation
A big difference. We are using a new type of mRNA vaccine that instructs our cells to manufacture only the spike protein of the COVID 19 virus  the toxic part . They claim that it stays in arm  it has been shown that it can travel all around our bodies and cause problems.,Misinformation
A bovine coronavirus vaccine or cattle s proof that the novel coronavirus isn t  new  and is evidence of  how much the media controls people,Misinformation
A bovine vaccine can be used to inoculate people against coronavirus,Misinformation
A canine coronavirus vaccine shows that  something is wrong  in how we are talking about the novel coronavirus,Misinformation
A convoy carrying vaccines against COVID 19 in South Africa was attacked in the streets,Misinformation
A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new,Misinformation
A coronavirus vaccine was patented in 2004,Misinformation
A COVID vaccine was developed in Naigaon n the state of Assam  India ,Misinformation
A Cuban vaccine cured 1 500 people infected with the new coronavirus,Misinformation
A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine,Misinformation
A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine,Misinformation
A dog vaccine can be used against coronavirus in people,Misinformation
A dog vaccine can be used against coronavirus in people,Misinformation
A Facebook page uploaded an interview with a man who supposedly got cured of COVID 19 through salt water steam inhalation therapy nd told readers the answer is  not a vaccine but salt,Misinformation
A Facebook post asserts the U S  developed a COVID 19 vaccine to release this Sunday,Misinformation
A Facebook post claimed that Bill Gates says there will be no public/mass gatherings in the light of COVID 19 pandemic until everyone is vaccinated,Misinformation
A Facebook post claiming that the  50 million people  who died during the second wave of the Spanish flu  1918  had just got a vaccine  The post compares this situation with the new coronavirus nd warns people against getting a vaccine for Covid 19 when it will be ready,Misinformation
A Facebook post claiming that the  50 million people  who died during the second wave of the Spanish flu  1918  had just got a vaccine  The post compares this situation with the new coronavirus nd warns people against getting a vaccine for Covid 19 when it will be ready,Misinformation
A Facebook post shared thousands of times claims seven children died in Senegal after being given a COVID 19 vaccine,Misinformation
A Facebook post which would list the ingredients for the Covid 19 vaccine,Misinformation
A Facebook publication ensures that  there is a new generation of genetic vaccines ready to be inoculated in the world population,Misinformation
A Filipino scientist has produced a vaccine for COVID 19,Misinformation
A French doctor is quoted as saying that US billionaire Bill Gates wants to sell a COVID 19 vaccine in Africa ut it s poisonous and will  destroy  Africa,Misinformation
A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to COVID 19,Misinformation
A man claims his dog was vaccinated for coronavirus hus the SARS Cov 2 is not really a new virus,Misinformation
A message accompanied by a photo of a poster from the Government delegation in Navarra pain tating  international vaccination center   According to the message that is circulating   these  International Vaccination  posters are beginning to be placed in government delegations t will be the protocol of the new normal  after the quarantine of the coronavirus  It also says that the virus  was only an excuse to get us a mRNA  genetic software  vaccine synchronized to a digital identity,Misinformation
A message sent by WhatsApp states that the Ministry of Defense of China has announced that it has  successfully  developed a vaccine against the new coronavirus hich causes COVID 19 disease  Portugal would receive the first doses in a few days,Misinformation
A new vaccine that can cure COVID 19 patients in 3 hours is now ready,Misinformation
A new vaccine to cure coronavirus has been developed by U S  scientists,Misinformation
A news article claims 30% of Ukrainian patients who participated in an American COVID 19 vaccine trial died  The test took place in the area of Lugansk n Ukrainian separatist region,Misinformation
A nurse working in the US informs Ivorian citizens that their government is misleading them isguising vaccines centers into testing centers against COVID 19,Misinformation
A Pentagon study found that people who get the flu vaccine are 36% more likely to get COVID 19,Misinformation
A photo of a dog vaccine against coronavirus is shared as proof that the virus existed 20 years ago,Misinformation
A photo shows a 19 year old vaccine for canine coronavirus that could be used to prevent the new coronavirus causing COVID 19,Misinformation
A photo shows a COVID 19 vaccine that can cure a patient in three hours,Misinformation
A photograph taken in 2001 shows a vaccine for coronavirus,Misinformation
A picture claiming that  Bill Gates  vaccines  would have paralyzed 496k children in India,Misinformation
A picture shows  Mar ? Asunci ? Del Refugio Dom ?guez  scientist who graduated with honors  It is very likely that she has discovered a vaccine for COVID n her arduous investigation he was infected with the virus,Misinformation
A picture taken in Colombia which shows a girl who fainted  The caption claims that the vaccine for COVID 19 is starting to be distributed in poorer countries ut 200 girls fainted after the injection,Misinformation
A picture with a quote attributed to Bill Gates tating   The vaccine won t be safe ut let s get it out quickly anyway nd worry about the consequences later,Misinformation
A post against vaccines and a future coronavirus vaccine shows the Prime minister of Australia pretending to get a vaccine but not actually getting it,Misinformation
A post claims a COVID 19 vaccine has already been developed and will cause widespread infertility,Misinformation
A post claims a COVID 19 vaccine has already been developed and will cause widespread infertility,Misinformation
A post claims compulsory vacination violates the principles of bioethics hat coronavirus doesnt exist hat the PCR test returns many false positives nd that influenza vaccine is related to COVID 19,Misinformation
A post says that a vaccine for the new coronavirus will be available in a few days,Misinformation
A post says that Barack Obama warned Africans not to accept European or American vaccines,Misinformation
A post says that the flu vaccine increases the risk of being infected with COVID 19,Misinformation
A post shared hundreds of times on Facebook claims that Didier Raoult  French specialist in infectious diseases s urging Africans  not to take Bill Gates vaccine  against coronavirus as it contains  poison,Misinformation
A post shared on Facebook and WhatsApp claims that China has sent COVID 19 vaccines to Burundi,Misinformation
A publication claims that Bill and Melinda Gates didn t vaccine their kids,Misinformation
A report circulating in Sri Lanka claims that a COVID 19 vaccine trial at the University of Oxford in England has been  successful   The purported news article hich has been shared repeatedly on Facebook tates 72 out of 100 COVID 19 patients recovered from the virus after receiving the vaccine,Misinformation
A Saudi Arabian study for a MERS vaccine is linked to the outbreak of coronavirus,Misinformation
A short portion of an interview given by discredited researcher Judy Mikovits n which she claims that a vaccine for COVID 19 will be deadly arns against immunization nd advocates for a five year moratorium to test all vaccines as been watched tens of thousands of times on YouTube and Facebook,Misinformation
A story saying that in Italy no non European citizens have been infected because they had the vaccine for tubercolosis,Misinformation
A team of experts and scientists from the Faculty of Medicine in Rabat announce that a vaccine for Covid 19 is coming soon,Misinformation
A team of medical trainees from JKUAT  a university in Kenya  have developed and tested a vaccine successfully,Misinformation
A television news report about a US biotech company runs alongside a claim that the company successfully created a vaccine for the COVID 19 within  three hours,Misinformation
A train carrying vaccines with the inscription  COVID 19,Misinformation
A tweet by Pakistani journalist Saadia Afzaal claiming that China has developed a COVID 19 vaccine,Misinformation
A Twitter post titled  Sakam da kazam    July 15 Elections Will Be Used for Vaccinating Voters Through the Project of Bill and Melinda Gates,Misinformation
A vaccine against coronavirus was developed,Misinformation
A vaccine for coronavirus has been found,Misinformation
A vaccine for coronavirus was available since 2001,Misinformation
A vaccine for coronavirus was made in 2001,Misinformation
A vaccine for the 2019 novel coronavirus has been found and there will be no more deaths due to the coronavirus,Misinformation
A vaccine for the coronavirus was being trialled in January 2020 days before the outbreak,Misinformation
A vaccine for the novel coronavirus was available as early as 2001,Misinformation
A vaccine test volunteer became sick and was censored by media,Misinformation
A vaccine that cures COVID 19 in three hours will be released next Sunday ccording to President Donald Trump  Roche has already produced millions of those vaccines,Misinformation
A video claims that Bill Gates made a presentation to the CIA on COVID 19 vaccines for modifying the brain of religious fanatics,Misinformation
A video has been viewed tens of thousands of times in multiple posts on YouTube acebook and Twitter which claim it shows US infectious disease expert Dr  Anthony Fauci admitting vaccines are  toxic  and can  make you worse  during a press conference about the novel coronavirus,Misinformation
A video of hot mic comments between a Fox News reporter and a New York Times photographer reveals that COVID 19 is a hoax and proves that there is a secret vaccine,Misinformation
A video of Italian politician Sara Cunial blasting Bill Gates as a  vaccine criminal  in speeches to parliament has been viewed tens of thousands of times on Facebook and YouTube,Misinformation
A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook witter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus OVID 19 as  ready  to be administered,Misinformation
A video of White House briefing suggesting Donald Trump and his gang all vaccinated,Misinformation
A video on Youtube claims that European Commission s implementing regulation  EU  2020/666 gives ways to implant microchips to humans in the EU  The theory is linked to mass vaccination that  surely awaits  after the pandemic will receed,Misinformation
A video showcasing successful trials completed for COVID 19 vaccine developed by PGIMER n India,Misinformation
A video showing two journalists talking at a White House briefing is the proof a vaccine exist,Misinformation
A video shows a group of doctors calling itself  Doctors for the truth  defend and justify claims that masks don t work ockdowns won t stop the virus nd the flu vaccine spread SARS CoV2,Misinformation
A video shows a meeting between American billionnaire Bill Gates and Senegalese president Macky Sall ho agreed to test COVID 19 vaccines in Senegal,Misinformation
A video where Bill Gates is alledgely stating that vaccines are useful to sterilize and reduce the world population,Misinformation
A viral message circulating on WhatsApp claims that a vaccine would be available in September 2020   thus ending speculation that the vaccine would not be available until 2021,Misinformation
A viral photo displays a vial of the vaccine ith text along the top that says   Now this was 2001 tell me why 19 years later they say there is no vaccine share before they take it down again,Misinformation
A viral photo displays a vial of the vaccine ith text along the top that says   Now this was 2001 tell me why 19 years later they say there is no vaccine share before they take it down again,Misinformation
A volunteer for Oxford coronavirus vaccine died,Misinformation
A WhatsApp a video features Rabbi Dan Ben Avraham nternational President of the Netzarita AMI Alliance ccording to their Twitter  In the video he rabbi says  the Israeli Minister of Health has officially declared that Israel has the coronavirus vaccine   And  Israel has the vaccine already,Misinformation
A WhatsApp forward claimed that a vaccine for coronavirus has been discovered  It also claims that the treatment for coronavirus is mentioned in India s Intermediate Zoology book  The viral forward reads It is not a new disease as it is already mentioned in the Intermediate Zoology book along with its treatment  It happens sometimes that many great scientists and doctors do not focus on lesser known books as they are mostly busy with famous books   Book name  Zoology riter  Dr  Ramesh Gupta age No  1072   Friends his is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time,Misinformation
A WhatsApp forward claims that the COVID 19 vaccine is ready as announced by U S  President Donald Trump nd will be launched next Sunday  It also claims that the vaccine discovered by the U S  scientists can cure a COVID 19 infected patient within 3 hours  With the WhatsApp forward he alleged image of the vaccine is also being shared,Misinformation
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered  The viral forward also claims that the treatment for coronavirus is mentioned in India s Intermediate Zoology book,Misinformation
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered  The viral forward also claims that the treatment for coronavirus is mentioned in India s Intermediate Zoology book,Misinformation
A Whatsapp message claiming that Covid 19 was transmitted to people through the 2019 2020 influenza vaccine,Misinformation
A WhatsApp message that states that COVID 19 means  Certificate of identification of vaccination with artificial intelligence   which is intended through the disease to carry out an international plan for the control and reduction of populations,Misinformation
A WhatsApp message that the European Union wants to relax vaccination regulations so that the COVID 19 vaccine is available more quickly since  Gates and his accomplices seem to be in a rush to administer it  although  it probably equates to a genocide,Misinformation
A Whatsapp message which claims that the Italian government sent  Nas   a branch of the Carabinieri  to close the department in charge of plamsa related therapies at Mantua hospital here  they cure COVID 19 in 48 hours   The government would have done that in order to obtain  Bill Gates  vaccine,Misinformation
A YouTube video claiming that in 2014 Bill Gates patenteted the vaccine againt COVID 19,Misinformation
A YouTube video shared thousands of times claims that two children died from a novel coronavirus vaccine in Guinea,Misinformation
According to a statement appearing to be coming from WHO  There is no pandemic  The epidemic does not exist  No vaccine is needed  Healthy people do not need gloves ace masks and other protective equipment  There was no need for a lockdown and a curfew as well as the so called contact tracing  The virus cannot survive on surfaces   such an isolation was only the demand of governments  Each and every organisation itness clubs heatres estaurants afes and bars can work at full capacity,Misinformation
According to a statement appearing to be coming from WHO  There is no pandemic  The epidemic does not exist  No vaccine is needed  Healthy people do not need gloves ace masks and other protective equipment  There was no need for a lockdown and a curfew as well as the so called contact tracing  The virus cannot survive on surfaces   such an isolation was only the demand of governments  Each and every organisation itness clubs heatres estaurants afes and bars can work at full capacity,Misinformation
According to a study conducted by the American Pentagon veryone who has received the influenza vaccine are 36% more likely to get infected by SARS CoV 2,Misinformation
According to Bill Gates he COVID 19 RNA vaccine will permanently alter our DNA  RNA vaccines can also cause autoimmunity,Misinformation
According to Bill Gates he COVID 19 RNA vaccine will permanently alter our DNA  RNA vaccines can also cause autoimmunity,Misinformation
According to the headlines of an article shared as a screenshot he first volunteer in the United Kingdom s COVID 19 vaccine trial has died wo days after getting the injection,Misinformation
Alibaba Group founder Jack Ma gave US 5 million to a Filipino student who developed a vaccine for novel coronavirus,Misinformation
America has been vaccinating cattle for coronavirus for years et the news tells you it s new and going to kill you all o go buy a mask,Misinformation
America has been vaccinating cattle for coronavirus for years et the news tells you it s new and gunna kill you all so go buy mask,Misinformation
American coronavirus vaccine killed five Ukrainians,Misinformation
An Argentinian doctor discovered a vaccine for coronavirus in Spain,Misinformation
An article circulating on Facebook claims that Microsoft co founder Bill Gates said a COVID 19 vaccine could kill almost one million people iting an interview he gave,Misinformation
An article claiming that  Bill Gates  vaccine  would modify human DNA,Misinformation
An article stating that Moderna vaccines had  catastrophic results,Misinformation
An audio where an unidentified person links the virus that causes COVID 19 with the massive flu vaccination campaign,Misinformation
An audio where an unidentified person links the virus that causes COVID 19 with the massive flu vaccination campaign,Misinformation
An hospital was set on fire in Nairobi after people discovered a lot of  poisoned vaccines  against coronavirus sent by the USA,Misinformation
An image claimed that the Bill Gates vaccination program  deformed and ruined the lives of people in Africa,Misinformation
An image has been shared in multiple posts on Facebook and Twitter alongside a claim that it shows China administering the  world s first new coronavirus vaccine  after the global outbreak of the novel coronavirus OVID 19,Misinformation
An image of an alleged Mexican scientist who discovered a possible vaccine for coronavirus,Misinformation
An image purportedly showing an article about flu vaccination has been shared hundreds of times in multiple posts on Facebook and Twitter posts alongside a claim that flu vaccines can make people more vulnerable to infections  The posts hared in May 2020 during the ongoing coronavirus pandemic dd that those who receive flu shots are  the first to die in an actual global pandemic,Misinformation
An image shared on social media claims vaccines are dangerous because they contain potassium chloride he chemical used to stop the heart in lethal injections,Misinformation
An image shared on social media claims vaccines are dangerous because they contain potassium chloride he chemical used to stop the heart in lethal injections,Misinformation
An image showing a COVID 19 vaccine created in 2001,Misinformation
An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,Misinformation
An Instagram post claims Microsoft founder Bill Gates said up to 700 000 people could die from a COVID 19 vaccine,Misinformation
An Italian politician says that according to the science journal Nature the vaccine against COVID 19 is not needed because the virus changes rapidly,Misinformation
An online report shared tens of thousands of times on Facebook and Twitter claims that one of Britain s first volunteers to be injected with a trial coronavirus vaccine has died,Misinformation
As part of vaccine trials r  V K  Srinivasan of Bharath Biotech took the COVID 19 vaccine,Misinformation
Assassination of the Tunisian doctor Mahmoud Bazarti after his announcement of finding a successful vaccine for COVID 19 in Germany,Misinformation
Barack Obama has urged Africans to reject any COVID 19 vaccine produced by the United States and Europe,Misinformation
Barack Obama warned Africans against vaccines from America and Europe,Misinformation
Baseless claims about vaccine safety go viral on Facebook,Misinformation
BCG  Bacillus Calmette Gu ?in  vaccine hich is used to prevent tuberculosis lso serves to mitigate the damage caused by COVID 19,Misinformation
BCG vaccine protects from COVID 19,Misinformation
Because of a WHO clause utch primary schools are allowed to vaccinate children without their parents  consent,Misinformation
Beef meat is the best vaccine against COVID 19,Misinformation
Bharat Biotech Vaccine Available From 15 August  Not So Fast,Misinformation
Bill Gates  coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus,Misinformation
Bill Gates admits his COVID 19 vaccine might kill nearly 1 million people,Misinformation
Bill Gates admits his COVID 19 vaccine might kill nearly 1 million people,Misinformation
Bill Gates admitted that he wants to vaccinate everyone because he makes 2000 percent profit with vaccines,Misinformation
Bill Gates already has his vaccine ready for you  against covic 19 d   nd here s the patent,Misinformation
Bill Gates and Microsoft have patented a cryptocurrency from Satan  666  and a microchip tattooed to control humans  The microchip would be inserted with coronavirus vaccines,Misinformation
Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine,Misinformation
Bill Gates claims and announces that vaccinations will be mandatory for all,Misinformation
Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA,Misinformation
Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA,Misinformation
Bill Gates faces trial in India for illegally testing vaccines,Misinformation
Bill Gates funded vaccine got 1 200 girls sick in India,Misinformation
Bill Gates has said that the COVID 19 vaccine could kill 700 000 people,Misinformation
Bill Gates ho has led harmful vaccination campaigns in developing countries ow plans to use COVID 19 vaccines to surveil the population,Misinformation
Bill Gates ho has led harmful vaccination campaigns in developing countries ow plans to use COVID 19 vaccines to surveil the population,Misinformation
Bill Gates ho has led harmful vaccination campaigns in developing countries ow plans to use COVID 19 vaccines to surveil the population,Misinformation
Bill Gates ho is supporting COVID 19 vaccine research isited in New Zealand during May,Misinformation
Bill Gates is creating a vaccine against the COVID 19 which would geolocate the population,Misinformation
Bill Gates is creating vaccines to make the earth s population infertile  He discussed a plan to reduce the world s population through vaccines during his 2010 TED talk,Misinformation
Bill Gates is doing  population control  with the coronavirus vaccine,Misinformation
Bill Gates is funding a vaccine in adhesive patch form  The vaccine contains a microchip that is going to be used to monitor people via 5G network,Misinformation
Bill Gates is plotting to use COVID 19 testing and a future vaccine to track people with microchips,Misinformation
Bill Gates patented the Sars cov2 vaccine in 2014,Misinformation
Bill Gates personally will profit from a COVID 19 vaccine and he owns a company that plans to implant microchips in everyone,Misinformation
Bill Gates plans to introduce microchip implants that will register whether or not someone has been tested and/or vaccinated against SARS CoV 2,Misinformation
Bill Gates predicted that the coronavirus pandemic would kill 65 million people and created a vaccine to eradicate Africans,Misinformation
Bill Gates predicts 700 000 victims because of a COVID 19 vaccine,Misinformation
Bill Gates profits from vaccination and wants to reduce the world s population,Misinformation
Bill Gates said  thousands of people will die with the COVID 19 vaccine,Misinformation
Bill Gates said in a TV interview that people don t have a choice when it comes to vaccination for COVID 19,Misinformation
Bill Gates spreads viruses to profit on vaccines,Misinformation
Bill Gates wants to implant microchips in vaccines using the  ID2020 Alliance,Misinformation
Bill Gates wants to implement microchips o depopulate the planet and he is sued in India for killing people with vaccines,Misinformation
Brazilian CoronaVac volunteer reported body pain and fever after vaccination,Misinformation
Brexit did not speed up UK vaccine authorisation,Misinformation
Britain s first coronavirus vaccine volunteer has not died after trial jab,Misinformation
Cardinal Antonio Ca zares rom Spain as assured that one of the vaccines that is being investigated against COVID 19 is made from cells of aborted fetuses,Misinformation
Cattle vaccine is related to COVID 19 he current panic overblown by media,Misinformation
Cattle vaccine proofs that coronavirus has existed for years and that there already is a vaccine  Photo showing the cattle vaccine produced by the American medical company ScourGuard 4KC,Misinformation
Chain message warns against accepting immunization from coronavirus  says they are rather implanting COVID 19 through said vaccine,Misinformation
Children In Senegal Did Not Die After Receiving oronavirus Vaccine,Misinformation
Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections ncluding coronaviruses,Misinformation
China finds a vaccine for the new coronavirus,Misinformation
China finds a vaccine for the new coronavirus,Misinformation
China finds a vaccine for the new coronavirus,Misinformation
China finds a vaccine for the new coronavirus,Misinformation
China granted the test kits to Turkey in return to Mustafa Kemal s cholera vaccine aid to China in 1940,Misinformation
China has successfully developed a vaccine ready to combat the coronavirus,Misinformation
China is busy using fake news attacking the U S,Misinformation
China is not conducting coronavirus vaccine testing in Papua New Guinea,Misinformation
China recognizes Palestinian doctor as discoverer of coronavirus vaccine,Misinformation
Chinese President Xi Jinping urging Africans to reject a coronavirus vaccine that has killed all the animals it has been tested,Misinformation
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,Misinformation
Church services can t resume until we re all vaccinated ays Bill Gates,Misinformation
Church services can t resume until we re all vaccinated ays Bill Gates,Misinformation
Claim that Bill Gates said that coronavirus vaccine will kill or harm 700 000 people,Misinformation
Claim that supermarket workers are required to have a flu vaccination or face dismissal,Misinformation
Claim that the coronavirus isn t new as there is a canine coronavirus vaccine since 2001,Misinformation
Content claiming that the first woman in the UK to try the experimental coronavirus vaccine has died,Misinformation
Coronavac  Chinese vaccine against COVID 19 being tested in Brazil s made with aborted fetus cells,Misinformation
CoronaVac accine that is being developed in China and will be tested in Brazil as not tested anywhere else in the world,Misinformation
Coronavirus  Secondo Barillari Nature dice che il vaccino contro il SARS CoV2 non serve  Forse non lo ha capito,Misinformation
Coronavirus is activated by the flu vaccine,Misinformation
Coronavirus is not new  there is a vaccine for dogs,Misinformation
Coronavirus vaccine just around the corner  Numerous Danish news reports stating that all kinds of vaccines are just about ready,Misinformation
Coronavirus was caused by a mysterious vaccine activation distributed in China by chemtrails and activated by 5G,Misinformation
Coronavirus was created in a lab in order to destroy the Chinese economy  A vaccine is already available,Misinformation
Coronavirus was created in a lab in order to destroy the Chinese economy  The vaccine is already available,Misinformation
Coronavirus was made in a lab ith pre existing patents for a vaccine  The Bill and Melinda Gates foundation is involved in spreading the coronavirus,Misinformation
COVID 19 can be treated with the plasma of healed patients  We don t need a vaccine or a drug,Misinformation
COVID 19 deaths in Lombardy are due to flu vaccines,Misinformation
COVID 19 is a vaccine that is  activated  and spreads with the 5G,Misinformation
COVID 19 is the name of the vaccine against the novel coronavirus,Misinformation
COVID 19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it,Misinformation
COVID 19 vaccine candidates will insert microchips in humans,Misinformation
COVID 19 Vaccine Ready an Cure Patients in 3 Hours  Fake Alert,Misinformation
